"" "A" "B" "C"
"1" 0 NA NA NA
"2" 0 NA NA NA
"3" 0 NA NA NA
"4" 0 NA NA NA
"5" 0 NA NA NA
"6" 5015 NA NA NA
"7" 0 NA NA NA
"8" 0 NA NA NA
"9" 0 NA NA NA
"10" 4913 NA NA NA
"11" 0 NA NA NA
"12" 0 NA NA NA
"13" 0 NA NA NA
"14" 0 NA NA NA
"15" 0 NA NA NA
"16" 0 NA NA NA
"17" 0 NA NA NA
"18" 0 NA NA NA
"19" 5095 NA NA NA
"20" 0 NA NA NA
"21" 0 NA NA NA
"22" 5090 NA NA NA
"23" 0 NA NA NA
"24" 0 NA NA NA
"25" 4944 NA NA NA
"26" 5014 NA NA NA
"27" 0 NA NA NA
"28" 0 NA NA NA
"29" 4918 NA NA NA
"30" 0 NA NA NA
"31" 0 NA NA NA
"32" 4867 NA NA NA
"33" 0 NA NA NA
"34" 4949 NA NA NA
"35" 0 NA NA NA
"36" 0 NA NA NA
"37" 0 NA NA NA
"38" 0 NA NA NA
"39" 5004 NA NA NA
"40" 5019 NA NA NA
"41" 4948 NA NA NA
"42" 0 NA NA NA
"43" 0 NA NA NA
"44" 0 NA NA NA
"45" 4858 NA NA NA
"46" 0 NA NA NA
"47" 0 NA NA NA
"48" 5180 NA NA NA
"49" 0 NA NA NA
"50" 0 NA NA NA
"51" 0 NA NA NA
"52" 0 NA NA NA
"53" 4976 NA NA NA
"54" 4914 NA NA NA
"55" 0 NA NA NA
"56" 0 NA NA NA
"57" 0 NA NA NA
"58" 5147 NA NA NA
"59" 0 NA NA NA
"60" 0 NA NA NA
"61" 0 NA NA NA
"62" 0 NA NA NA
"63" 0 NA NA NA
"64" 4810 NA NA NA
"65" 4965 NA NA NA
"66" 4897 NA NA NA
"67" 0 NA NA NA
"68" 0 NA NA NA
"69" 4813 NA NA NA
"70" 0 NA NA NA
"71" 0 NA NA NA
"72" 0 NA NA NA
"73" 0 NA NA NA
"74" 0 NA NA NA
"75" 4986 NA NA NA
"76" 0 NA NA NA
"77" 0 NA NA NA
"78" 0 NA NA NA
"79" 0 NA NA NA
"80" 0 NA NA NA
"81" 5074 NA NA NA
"82" 4927 NA NA NA
"83" 5139 NA NA NA
"84" 4799 NA NA NA
"85" 4988 NA NA NA
"86" 5004 NA NA NA
"87" 4869 NA NA NA
"88" 5027 NA NA NA
"89" 4835 NA NA NA
"90" 4878 NA NA NA
"91" 4980 NA NA NA
"92" 5111 NA NA NA
"93" 5022 NA NA NA
"94" 5032 NA NA NA
"95" 4906 NA NA NA
"96" 4844 NA NA NA
"97" 5032 NA NA NA
"98" 4967 NA NA NA
"99" 0 NA NA NA
"100" 5044 NA NA NA
