"" "A" "B" "C"
"1" 0 155683 0 0
"2" 0 157061 0 0
"3" 0 0 0 18385
"4" 0 0 429209 0
"5" 0 0 0 18656
"6" 0 0 0 18759
"7" 0 0 429394 0
"8" 0 0 429673 0
"9" 0 0 427000 0
"10" 0 0 428630 0
"11" 0 0 429981 0
"12" 0 0 430581 0
"13" 0 0 426407 0
"14" 0 0 428141 0
"15" 0 156336 0 0
"16" 0 0 428631 0
"17" 0 0 428748 0
"18" 0 0 425700 0
"19" 0 0 0 18650
"20" 0 0 431445 0
"21" 0 0 427882 0
"22" 0 0 427475 0
"23" 0 50211 0 26313
"24" 0 0 428744 0
"25" 0 0 428926 0
"26" 0 0 427907 0
"27" 0 156490 0 0
"28" 0 0 429522 0
"29" 0 157523 0 0
"30" 0 157322 0 0
"31" 5023 0 0 1
"32" 0 0 425489 0
"33" 0 156815 0 0
"34" 0 0 427498 0
"35" 5038 2 0 0
"36" 0 0 430989 0
"37" 0 0 428390 0
"38" 4901 0 0 5
"39" 0 0 428329 0
"40" 4861 0 2 0
"41" 0 0 428423 0
"42" 0 0 431088 0
"43" 0 157239 0 0
"44" 0 155667 0 0
"45" 0 0 427997 0
"46" 0 0 425700 0
"47" 0 0 0 18444
"48" 0 0 429308 0
"49" 0 0 429889 0
"50" 0 0 0 18485
"51" 0 0 430365 0
"52" 0 0 0 18542
"53" 0 0 429726 0
"54" 0 0 427598 0
"55" 0 0 426633 0
"56" 0 0 428052 0
"57" 0 0 430007 0
"58" 0 18967 0 27409
"59" 0 0 428286 0
"60" 0 155630 0 0
"61" 0 155149 0 0
"62" 0 0 427964 0
"63" 0 0 431283 0
"64" 0 0 428882 0
"65" 0 0 430974 0
"66" 0 156633 0 0
"67" 0 0 428096 0
"68" 0 0 0 18475
"69" 0 0 431653 0
"70" 0 0 429373 0
"71" 0 0 428981 0
"72" 0 0 427800 0
"73" 0 0 0 18247
"74" 0 0 426957 0
"75" 0 156375 0 0
"76" 0 75351 0 22086
"77" 0 0 430229 0
"78" 0 0 428742 0
"79" 0 0 426409 0
"80" 0 0 427672 0
"81" 0 156085 0 0
"82" 0 0 427590 0
"83" 5055 20 0 0
"84" 0 0 0 18652
"85" 0 0 431307 0
"86" 0 0 427039 0
"87" 0 0 431303 0
"88" 0 155271 0 0
"89" 0 81827 0 20988
"90" 0 0 429291 0
"91" 0 0 429375 0
"92" 0 0 428178 0
"93" 0 0 427214 0
"94" 0 0 431301 0
"95" 0 0 429299 0
"96" 0 0 430755 0
"97" 0 155893 0 0
"98" 0 0 0 18845
"99" 0 153584 0 757
"100" 0 0 0 18205
