"" "A" "B" "C"
"1" 0 0 429634 0
"2" 0 56037 0 0
"3" 0 55552 0 0
"4" 0 0 0 18566
"5" 0 0 430245 0
"6" 0 0 428094 NA
"7" 0 0 0 18414
"8" 0 0 429442 0
"9" 0 0 427922 0
"10" 4988 0 49 0
"11" 0 0 431668 0
"12" 0 0 430814 0
"13" 0 0 427569 0
"14" 0 0 432032 0
"15" 0 0 430834 0
"16" 0 55305 0 0
"17" 0 0 0 18419
"18" 0 0 428345 0
"19" 0 0 429788 0
"20" 0 0 427748 0
"21" 0 0 428680 0
"22" 0 0 432097 0
"23" 0 0 427163 0
"24" 0 0 0 18536
"25" 0 0 430763 0
"26" 0 0 427074 0
"27" 0 0 426399 0
"28" 0 0 428283 0
"29" 0 0 429257 0
"30" 0 55797 0 0
"31" 0 0 429036 0
"32" 0 0 0 18892
"33" 0 0 429513 0
"34" 0 0 428458 0
"35" 0 0 430899 0
"36" 4981 0 0 0
"37" 0 0 428168 0
"38" 0 55142 0 0
"39" 0 0 429545 0
"40" 0 0 427992 0
"41" 0 0 0 18700
"42" 0 55027 0 0
"43" 0 0 427977 0
"44" 0 0 429633 0
"45" 0 0 430330 0
"46" 0 0 431298 0
"47" 0 0 430160 0
"48" 0 0 0 19029
"49" 0 0 432418 0
"50" 0 0 428473 0
"51" 0 0 0 18759
"52" 0 0 430357 0
"53" 0 0 0 18632
"54" 0 0 429890 0
"55" 0 0 431221 0
"56" 0 0 427633 0
"57" 0 0 429587 0
"58" 4968 17 33 0
"59" 0 0 426773 0
"60" 0 0 427565 0
"61" 0 0 0 19067
"62" 0 0 430030 0
"63" 0 0 429759 0
"64" 0 0 426912 0
"65" 0 0 0 18480
"66" 0 0 427471 0
"67" 0 0 431515 0
"68" 5015 0 9 0
"69" 0 0 430278 0
"70" 0 0 428300 0
"71" 0 0 427411 0
"72" 0 0 425851 0
"73" 0 0 428681 0
"74" 0 0 0 18416
"75" 0 0 430258 0
"76" 0 0 428814 0
"77" 0 0 431193 0
"78" 0 0 431446 0
"79" 0 55133 0 0
"80" 0 0 429928 0
"81" 0 0 430380 0
"82" 0 0 429165 0
"83" 5066 74 0 0
"84" 0 0 427748 0
"85" 5031 0 0 0
"86" 4992 7 0 0
"87" 0 0 429831 0
"88" 0 0 427104 0
"89" 0 0 431312 0
"90" 0 0 428267 0
"91" 0 0 429518 0
"92" 0 0 429291 0
"93" 0 0 428930 0
"94" 5151 0 0 0
"95" 0 0 0 18885
"96" 0 0 428195 0
"97" 0 0 429101 0
"98" 0 0 428513 0
"99" 0 0 429049 0
"100" 0 0 427744 0
