"" "A" "B" "C"
"1" 0 NA NA NA
"2" 0 NA NA NA
"3" 0 NA NA NA
"4" 0 NA NA NA
"5" 4973 NA NA NA
"6" 5023 NA NA NA
"7" 0 NA NA NA
"8" 5028 NA NA NA
"9" 0 NA NA NA
"10" 4983 NA NA NA
"11" 0 NA NA NA
"12" 5032 NA NA NA
"13" 4824 NA NA NA
"14" 0 NA NA NA
"15" 4828 NA NA NA
"16" 0 NA NA NA
"17" 0 NA NA NA
"18" 5003 NA NA NA
"19" 5018 NA NA NA
"20" 4971 NA NA NA
"21" 5074 NA NA NA
"22" 0 NA NA NA
"23" 4984 NA NA NA
"24" 0 NA NA NA
"25" 0 NA NA NA
"26" 0 NA NA NA
"27" 0 NA NA NA
"28" 0 NA NA NA
"29" 0 NA NA NA
"30" 0 NA NA NA
"31" 4955 NA NA NA
"32" 0 NA NA NA
"33" 5017 NA NA NA
"34" 5091 NA NA NA
"35" 0 NA NA NA
"36" 0 NA NA NA
"37" 0 NA NA NA
"38" 0 NA NA NA
"39" 0 NA NA NA
"40" 4922 NA NA NA
"41" 4891 NA NA NA
"42" 0 NA NA NA
"43" 0 NA NA NA
"44" 0 NA NA NA
"45" 0 NA NA NA
"46" 5025 NA NA NA
"47" 0 NA NA NA
"48" 0 NA NA NA
"49" 0 NA NA NA
"50" 4898 NA NA NA
"51" 5020 NA NA NA
"52" 5141 NA NA NA
"53" 0 NA NA NA
"54" 4937 NA NA NA
"55" 4933 NA NA NA
"56" 0 NA NA NA
"57" 0 NA NA NA
"58" 4992 NA NA NA
"59" 0 NA NA NA
"60" 0 NA NA NA
"61" 0 NA NA NA
"62" 0 NA NA NA
"63" 4931 NA NA NA
"64" 5003 NA NA NA
"65" 0 NA NA NA
"66" 0 NA NA NA
"67" 5053 NA NA NA
"68" 5001 NA NA NA
"69" 0 NA NA NA
"70" 0 NA NA NA
"71" 0 NA NA NA
"72" 4871 NA NA NA
"73" 0 NA NA NA
"74" 0 NA NA NA
"75" 4876 NA NA NA
"76" 4964 NA NA NA
"77" 0 NA NA NA
"78" 0 NA NA NA
"79" 0 NA NA NA
"80" 0 NA NA NA
"81" 0 NA NA NA
"82" 4849 NA NA NA
"83" 5053 NA NA NA
"84" 0 NA NA NA
"85" 0 NA NA NA
"86" 0 NA NA NA
"87" 4846 NA NA NA
"88" 0 NA NA NA
"89" 0 NA NA NA
"90" 0 NA NA NA
"91" 0 NA NA NA
"92" 0 NA NA NA
"93" 0 NA NA NA
"94" 4823 NA NA NA
"95" 0 NA NA NA
"96" 0 NA NA NA
"97" 0 NA NA NA
"98" 0 NA NA NA
"99" 0 NA NA NA
"100" 5008 NA NA NA
