"" "A" "B" "C"
"1" 5046 0 0 0
"2" 0 0 156265 0
"3" 0 0 155847 0
"4" 4806 0 0 27
"5" 0 0 156257 0
"6" 0 0 156032 0
"7" 0 0 156001 0
"8" 0 0 155533 0
"9" 4994 2 0 0
"10" 0 0 155707 0
"11" 5050 0 0 0
"12" 0 0 0 18431
"13" 0 0 156726 0
"14" 0 0 154644 0
"15" 0 NA 155794 0
"16" 0 0 0 18817
"17" 5000 0 2 0
"18" 0 0 0 18751
"19" 0 0 155914 0
"20" 0 0 156516 0
"21" 0 0 155757 0
"22" 0 0 0 18953
"23" 5018 0 0 15
"24" 4889 0 0 0
"25" 0 0 156040 0
"26" 0 0 156473 0
"27" 0 0 158367 0
"28" 0 0 0 18494
"29" 0 0 156774 0
"30" 0 0 154494 0
"31" 0 0 156502 0
"32" 4830 0 8 244
"33" 0 0 154972 0
"34" 0 0 156846 0
"35" 4968 0 0 0
"36" 0 0 156500 0
"37" 0 0 156168 0
"38" 0 0 0 18626
"39" 0 0 156462 0
"40" 0 0 156133 0
"41" 0 0 155378 0
"42" 0 0 154666 0
"43" 0 0 154668 0
"44" 0 0 155599 0
"45" 0 0 0 18916
"46" 4939 1 0 0
"47" 0 0 154493 0
"48" 0 0 154711 0
"49" 5043 0 0 1
"50" 0 0 155784 0
"51" 0 0 0 18619
"52" 0 0 155356 0
"53" 0 0 154682 0
"54" 0 0 0 18823
"55" 0 0 156855 0
"56" 0 0 0 18584
"57" 0 0 156749 0
"58" 4996 0 0 0
"59" 0 0 154931 0
"60" 0 0 156623 0
"61" 0 0 0 18565
"62" 0 0 155364 0
"63" 5006 0 0 1
"64" 0 0 155364 0
"65" 0 0 155776 0
"66" 0 0 157229 0
"67" 0 0 154985 0
"68" 0 0 156546 0
"69" 0 0 156093 0
"70" 0 0 155816 0
"71" 0 0 156429 0
"72" 0 0 155289 0
"73" 5034 0 0 0
"74" 0 0 155101 0
"75" 0 0 157276 0
"76" 0 0 155903 0
"77" 0 0 0 18505
"78" 0 0 155820 0
"79" 0 0 155977 0
"80" 0 0 156939 0
"81" 0 0 155694 0
"82" 0 0 155068 0
"83" 0 0 155121 0
"84" 0 0 157121 0
"85" 0 0 156027 0
"86" 0 0 0 18507
"87" 0 0 155743 0
"88" 0 0 155857 0
"89" 0 0 156396 0
"90" 0 0 155499 0
"91" 0 0 156132 0
"92" 0 0 156675 0
"93" 0 0 155129 0
"94" 0 0 156116 0
"95" 0 0 155949 0
"96" 0 0 155318 0
"97" 0 0 155297 0
"98" 0 0 156355 0
"99" 0 0 156699 0
"100" 0 0 156695 0
