"" "A" "B" "C"
"1" 5061 0 0 0
"2" 0 0 0 18559
"3" 0 0 0 18562
"4" 0 0 0 18647
"5" 5190 0 0 0
"6" 0 0 0 18834
"7" 0 0 0 18696
"8" 0 0 0 18116
"9" 0 0 0 18494
"10" 3121 11 1916 0
"11" 0 0 0 18329
"12" 0 0 0 18730
"13" 0 156532 0 0
"14" 4847 0 0 0
"15" 0 156334 0 0
"16" 0 155245 0 0
"17" 4999 0 0 0
"18" 0 156470 0 0
"19" 0 0 0 18711
"20" 0 156484 0 0
"21" 0 0 0 18437
"22" 0 155475 0 0
"23" 0 0 0 18548
"24" 0 0 0 18565
"25" 5011 0 0 0
"26" 0 156087 0 0
"27" 0 0 0 18430
"28" 0 0 0 18767
"29" 4846 5 84 0
"30" 2418 0 0 5400
"31" 0 155525 0 0
"32" 0 0 0 18412
"33" 0 0 0 18660
"34" 0 155138 0 0
"35" 4949 0 0 0
"36" 0 19417 16942 0
"37" 0 0 0 19067
"38" 4994 20 0 0
"39" 0 0 0 18492
"40" 0 156872 0 0
"41" 0 156093 0 0
"42" 0 0 0 18632
"43" 0 0 0 18620
"44" 0 156873 0 0
"45" 4962 0 0 0
"46" 5022 0 0 0
"47" 0 28544 18429 0
"48" 0 0 0 18323
"49" 0 0 0 18389
"50" 0 151081 1066 0
"51" 0 0 0 19143
"52" 0 156896 0 0
"53" 5130 0 0 0
"54" 0 0 0 18597
"55" 0 155142 0 0
"56" 0 0 0 18441
"57" 0 0 0 18655
"58" 0 0 0 18632
"59" 0 0 0 18402
"60" 0 0 0 18697
"61" 4895 0 0 0
"62" 4799 0 0 1
"63" 0 0 0 19024
"64" 0 156057 0 0
"65" 0 156030 0 0
"66" 0 155871 0 0
"67" 0 0 0 18814
"68" 5124 1 0 1
"69" 4949 0 0 0
"70" 0 155764 0 0
"71" 0 155633 0 0
"72" 5000 0 0 0
"73" 0 0 0 18837
"74" 0 0 0 18633
"75" 0 0 0 18515
"76" 0 5085 11458 0
"77" 0 0 0 18545
"78" 0 17267 16181 0
"79" 5141 0 0 0
"80" 0 156682 0 0
"81" 0 0 0 18512
"82" 5107 0 0 0
"83" 0 0 0 18391
"84" 0 156521 0 0
"85" 0 155985 0 0
"86" 0 0 0 18432
"87" 0 0 0 19076
"88" 0 0 0 18445
"89" 0 0 0 18560
"90" 0 155390 0 0
"91" 4661 0 387 0
"92" 0 0 0 18483
"93" 0 0 0 18672
"94" 0 156128 0 0
"95" 0 154350 0 0
"96" 0 155384 0 0
"97" 0 0 0 18726
"98" 0 0 0 18893
"99" 0 156987 0 0
"100" 0 65929 17559 0
