"" "A" "B" "C"
"1" 0 23595235 0 0
"2" 0 23576504 0 0
"3" 0 0 156834 0
"4" 0 0 156067 0
"5" 0 23565419 0 0
"6" 0 0 155332 0
"7" 0 0 154559 0
"8" 0 0 155090 0
"9" 0 0 0 18532
"10" 0 0 155742 0
"11" 0 0 0 18717
"12" 0 NA 156543 0
"13" 0 0 156275 0
"14" 0 0 157610 0
"15" 0 0 0 18524
"16" 0 0 157404 0
"17" 0 0 156361 0
"18" 0 0 156701 0
"19" 0 0 157192 0
"20" 0 0 156457 0
"21" 0 23588492 0 0
"22" 0 23580995 NA 0
"23" 0 23564144 0 0
"24" 0 0 156334 0
"25" 0 0 0 18569
"26" 0 0 0 18719
"27" 0 0 155234 0
"28" 0 0 156157 0
"29" 0 0 156338 0
"30" 5132 0 0 0
"31" 0 0 156014 NA
"32" 0 23591459 0 0
"33" 0 0 0 18322
"34" 0 0 155378 0
"35" 0 0 154742 0
"36" 0 23582013 0 0
"37" 0 0 154965 0
"38" 0 0 156857 0
"39" 5061 0 0 0
"40" 0 23568836 0 0
"41" 4929 0 0 0
"42" 0 0 156154 0
"43" 0 0 0 18826
"44" 0 0 156096 0
"45" 0 23620967 0 0
"46" 0 23569663 0 NA
"47" 0 0 155857 0
"48" 0 0 156512 0
"49" 0 0 155181 0
"50" 0 0 155003 0
"51" 0 0 155454 0
"52" 0 0 0 18776
"53" 0 0 0 18636
"54" 0 23597792 0 0
"55" 0 0 156330 0
"56" 0 0 155990 0
"57" 0 0 0 18208
"58" 0 0 155711 0
"59" 0 0 156127 0
"60" 0 0 0 18752
"61" 0 23576966 0 0
"62" 0 0 157765 0
"63" 0 0 154572 0
"64" 0 0 0 18828
"65" 0 0 156681 0
"66" 0 0 156750 0
"67" 0 0 155935 0
"68" 5044 0 0 0
"69" 0 0 154493 0
"70" 0 0 155644 0
"71" 0 0 156384 0
"72" 0 0 154700 0
"73" 0 0 0 18352
"74" 0 23591569 0 0
"75" 0 0 155660 0
"76" 0 0 156143 0
"77" 0 0 155417 0
"78" 0 0 0 18915
"79" 0 0 0 18559
"80" 0 0 155546 0
"81" 0 0 0 18546
"82" 0 0 155591 0
"83" 0 0 156452 0
"84" 0 23553867 0 0
"85" 0 0 156258 0
"86" 0 0 154105 0
"87" 0 0 156379 0
"88" 0 0 154831 0
"89" 0 23568226 0 0
"90" 0 23591050 0 0
"91" 0 0 155688 0
"92" 0 0 155875 0
"93" 0 0 156351 0
"94" 0 0 156767 0
"95" 0 0 156955 0
"96" 0 0 0 18461
"97" 0 0 0 18711
"98" 0 0 0 18475
"99" 0 0 155051 0
"100" 5031 0 0 26
