"" "A" "B" "C"
"1" 0 0 0 18949
"2" 0 429405 0 0
"3" 0 0 156530 0
"4" 0 0 156342 0
"5" 0 430570 0 0
"6" 0 349 0 19476
"7" 0 0 155071 0
"8" 0 0 0 18401
"9" 5092 0 19 0
"10" 0 0 156297 0
"11" 0 0 156543 0
"12" 0 431368 0 0
"13" 0 0 155397 0
"14" 0 406995 0 5376
"15" 0 430558 0 0
"16" 0 0 156298 0
"17" 0 0 156578 0
"18" 0 0 0 18706
"19" 0 427167 0 0
"20" 0 197996 0 45656
"21" 0 0 154628 0
"22" 0 0 155321 0
"23" 0 0 155363 0
"24" 0 0 154758 0
"25" 0 0 154918 0
"26" 0 0 156357 0
"27" 0 0 155855 0
"28" 0 430159 0 0
"29" 0 0 156662 0
"30" 0 0 154725 0
"31" 0 0 0 18266
"32" 0 0 0 18492
"33" 0 0 155109 0
"34" 0 0 154924 0
"35" 0 0 155060 0
"36" 0 0 155585 0
"37" 0 0 155558 0
"38" 0 0 0 18398
"39" 0 0 155444 0
"40" 0 0 156865 0
"41" 0 0 155179 0
"42" 0 431052 0 0
"43" 0 0 155636 0
"44" 0 0 155863 0
"45" 0 0 157093 0
"46" 0 0 156570 0
"47" 0 429175 0 0
"48" 0 0 156309 0
"49" 0 0 154341 0
"50" 0 0 154133 0
"51" 0 0 153836 0
"52" 0 0 156367 0
"53" 0 0 155573 0
"54" 0 430538 0 0
"55" 0 0 155770 0
"56" 0 0 156294 0
"57" 0 0 155785 0
"58" 4858 0 0 0
"59" 0 429906 0 0
"60" 0 0 154658 0
"61" 0 0 0 18802
"62" 0 0 157090 0
"63" 0 0 156304 0
"64" 0 0 156249 0
"65" 0 0 157119 0
"66" 0 0 155386 0
"67" 0 429778 0 0
"68" 0 0 154807 0
"69" 0 0 157108 0
"70" 4991 0 0 0
"71" 0 426368 0 0
"72" 0 0 155395 0
"73" 0 0 155284 0
"74" 0 0 156861 0
"75" 0 0 156039 0
"76" 0 0 156048 0
"77" 0 0 0 18987
"78" 0 428869 0 0
"79" 0 426650 0 0
"80" 0 0 0 18290
"81" 0 430293 0 0
"82" 0 0 155589 0
"83" 0 0 156087 0
"84" 0 429644 0 0
"85" 0 0 156662 0
"86" 0 426680 0 0
"87" 0 37994 0 44143
"88" 0 0 153405 0
"89" 0 430235 0 0
"90" 0 0 157866 0
"91" 0 0 155862 0
"92" 0 428210 0 0
"93" 5089 0 3 0
"94" 0 426585 0 0
"95" 0 426113 0 0
"96" 5007 0 0 0
"97" 0 428721 0 0
"98" 0 0 156965 0
"99" 0 0 0 18382
"100" 0 0 156927 0
