"" "A" "B" "C"
"1" 0 0 23571185 0
"2" 0 0 23601798 0
"3" 0 0 23583577 0
"4" 0 55932 0 0
"5" 0 0 23566461 0
"6" 0 0 23584091 0
"7" 0 0 0 18926
"8" 0 0 23564622 0
"9" 0 0 23596639 0
"10" 0 0 23592325 0
"11" 0 0 23585264 0
"12" 0 0 23592343 0
"13" 0 55866 0 0
"14" 0 55118 0 0
"15" 0 0 23585075 0
"16" 0 0 23578105 0
"17" 0 0 23583839 0
"18" 0 0 23581292 0
"19" 0 0 23589863 0
"20" 0 0 23537928 0
"21" 4963 1 0 3
"22" 0 0 23564617 0
"23" 0 0 23573952 0
"24" 0 0 23565890 0
"25" 0 0 0 18421
"26" 0 0 23592869 0
"27" 0 0 23546783 0
"28" 0 0 0 18596
"29" 0 0 0 18550
"30" 0 0 23593175 0
"31" 0 0 23589869 0
"32" 0 0 23566823 0
"33" 0 0 23586302 0
"34" 0 0 23574480 0
"35" 0 0 23613457 0
"36" 0 55874 0 0
"37" 0 0 23562547 0
"38" 0 0 0 18590
"39" 0 0 23607757 0
"40" 0 0 23587178 0
"41" 0 0 23560383 NA
"42" 0 0 0 19048
"43" 0 0 23560700 0
"44" 0 0 23586944 0
"45" 0 0 23581084 0
"46" 0 0 23542420 0
"47" 0 0 23567368 0
"48" 0 55388 0 0
"49" 0 0 23565113 0
"50" 0 0 23559947 0
"51" 0 0 23591522 0
"52" 0 55985 0 0
"53" 4901 0 0 0
"54" 0 0 23551659 0
"55" 0 0 23577515 0
"56" 0 0 23559028 0
"57" 4920 0 2 0
"58" 0 0 23591061 0
"59" 0 0 23565625 0
"60" 0 0 0 18633
"61" 0 0 23536805 0
"62" 0 0 23569817 0
"63" 0 0 0 18420
"64" 0 0 23564706 0
"65" 0 0 23567262 0
"66" 0 0 23603102 0
"67" 0 0 23583119 0
"68" 0 0 23574204 0
"69" 0 0 23556209 0
"70" 0 0 23571872 0
"71" 0 0 23549549 0
"72" 0 0 23562340 0
"73" 0 0 23600741 0
"74" 0 0 23567489 0
"75" 0 0 23568870 0
"76" 5045 0 0 18
"77" 0 0 23569331 0
"78" 0 0 23562261 0
"79" 0 0 23593566 0
"80" 0 0 23576857 0
"81" 0 0 23577410 0
"82" 0 0 23572167 0
"83" 0 0 23555944 0
"84" 0 0 23586454 0
"85" 0 0 23588679 0
"86" 5119 0 0 2
"87" 0 0 23598152 0
"88" 0 0 23579806 0
"89" 0 0 23574561 0
"90" 0 0 23582784 0
"91" 0 0 23560089 0
"92" 0 0 23603650 0
"93" 0 0 0 18605
"94" 0 0 23573802 0
"95" 0 0 23595581 0
"96" 0 0 0 19061
"97" 0 0 23547809 0
"98" 0 0 23577059 0
"99" 0 0 23596585 0
"100" 0 0 23573820 0
